label,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,FractionCSP3,NumAromaticRings,MaxPartialCharge,MinPartialCharge,NumNitrogen,NumOxygen
0,323.179775924,4.032900000000003,21.060000000000002,0,3,3,0.35,3,0.12272948629086483,-0.32320866059720443,3,0
0,97.969005488,1.464,0.0,0,0,1,1.0,0,0.035889203448099614,-0.12542343074881615,0,0
0,221.12044948,3.150500000000002,12.03,1,1,0,0.25,2,0.06722349291555299,-0.2966448964685886,1,0
0,78.046950192,1.6866,0.0,0,0,0,0.0,1,-0.062268570782092456,-0.062268570782092456,0,0
0,114.14085057599999,3.3668000000000022,0.0,0,0,5,1.0,0,-0.053316204543896704,-0.0653823832228023,0,0
0,239.107691876,3.2993000000000023,29.1,1,2,3,0.46153846153846156,1,0.17900807689284562,-0.30264536022536415,1,1
0,162.115698448,1.8483,16.130000000000003,0,2,1,0.5,1,0.036029666516989495,-0.29930714879016557,2,0
0,92.062600256,1.99502,0.0,0,0,0,0.14285714285714285,1,-0.039774526323627504,-0.06224908578199481,0,0
0,149.12044948,1.837,12.03,1,1,3,0.4,1,0.007609729497834579,-0.31694609866443224,1,0
0,352.13424097200004,5.425700000000005,33.2,0,2,4,0.23809523809523808,3,0.27197411496188945,-0.33767972473585445,2,1
0,219.96939941199997,2.4568000000000003,46.53,1,2,3,0.125,1,0.3412236092634533,-0.48034844459329457,0,3
0,277.183049736,4.168600000000003,3.24,0,1,3,0.3,2,0.0010137632931433648,-0.30909168874709037,1,0
0,165.078978592,1.4455,52.32,1,3,2,0.2222222222222222,1,0.3376097259808516,-0.46239131153211466,1,2
0,307.214743788,2.3933999999999997,50.72,2,4,11,0.6666666666666666,1,0.11895622189076537,-0.4908491126928612,1,3
0,311.224914548,3.9624000000000033,23.47,1,2,5,0.6190476190476191,1,0.09420863783463958,-0.38480415822491926,1,1
0,419.089619296,4.5347000000000035,40.540000000000006,1,3,6,0.38095238095238093,2,0.16242475251779714,-0.38506878984883397,1,2
0,248.15247788,1.68608,65.28,2,4,5,0.5,1,0.13669346418005981,-0.4894553654403361,2,2
0,385.24777523200004,2.0881999999999996,69.64000000000001,0,6,6,0.7142857142857143,1,0.22923427935701327,-0.33826073198235146,5,2
0,193.11027872,2.2257,52.32,1,3,4,0.36363636363636365,1,0.3376198178852672,-0.46209728634871794,1,2
0,318.09574728800004,4.894400000000004,6.48,0,3,4,0.29411764705882354,2,0.056730031151179014,-0.33955085067145824,2,0
0,300.066555336,3.3712000000000018,40.620000000000005,0,2,1,0.125,2,0.24056804266417567,-0.3130382635209842,2,2
0,229.01735264799999,2.1737000000000006,36.42,2,1,1,0.2222222222222222,1,0.19622755851418192,-0.3543208087645269,3,0
0,266.178298704,3.5328000000000026,15.27,1,2,4,0.3333333333333333,2,0.04429611178287758,-0.3409909711776165,2,0
0,270.05599065200005,3.129500000000001,41.46,1,2,1,0.06666666666666667,2,0.24557017862883018,-0.32384032799554907,2,1
0,135.104799416,1.5763,26.02,1,1,2,0.3333333333333333,1,0.005086239071797018,-0.32765583199596715,1,0
0,284.07164071600005,3.153800000000002,32.67,0,2,1,0.125,2,0.24791727974282635,-0.31319991842941763,2,1
0,255.162314292,3.3542000000000023,12.47,0,2,6,0.29411764705882354,2,0.10759604464030842,-0.36745986260344343,1,1
0,379.214743788,4.361100000000004,38.77,0,4,6,0.4583333333333333,2,0.16620209627378937,-0.49285879087511075,1,3
0,183.971433464,2.3528000000000002,9.23,0,1,3,1.0,0,0.404702516427719,-0.25447272008479,0,1
0,336.22016351599996,4.136700000000004,23.550000000000004,0,2,6,0.4090909090909091,2,0.22645926389012452,-0.3092899180456462,2,1
0,437.17486811199996,4.308100000000003,29.950000000000003,1,5,6,0.45454545454545453,2,0.41598698505793,-0.3950445544207227,3,1
